,Income,Dt_Customer,Recency,WinesProducts,FruitsProducts,MeatProducts,FishProducts,SweetProducts,GoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Education_Graduation,Education_Postgraduate,Education_Undergraduate,Marital_Status_Married,Marital_Status_Single
229,22804.0,14,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,1,1,0,0,0,1
230,73687.0,10,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,1,0,1,0,0,1,0
231,61074.0,25,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0,1,1,0,0,1,0
232,31686.0,4,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,1,0,1,0,1,0
233,80134.0,16,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1,1,1,0,0,1,0
234,75027.0,21,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0,1,1,0,0,1,0
235,67546.0,25,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,0,0,1,0,1,0
236,65176.0,23,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0,1,0,1,0,1,0
237,31160.0,12,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,0,1,0,1,0,0,1
238,29938.0,11,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,0,1,1,0,0,0,1
239,102692.0,18,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1,0,1,0,0,0,1
240,26490.0,24,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,0,0,1,0,1,0
241,75702.0,25,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0,1,1,0,0,1,0
242,30899.0,24,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,1,0,1,0,0,1
243,63342.0,23,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,0,1,0,1,0,1,0
244,45989.0,23,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,0,1,1,0,0,0,1
245,18701.0,16,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0,1,1,0,0,0,1
246,40737.0,10,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,1,0,1,0,0,1
247,15287.0,24,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,1,1,0,0,0,1
248,69674.0,16,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,0,1,0,1,0,0,1
249,44159.0,3,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,0,1,0,1,0,1,0
250,37717.0,22,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,1,0,1,0,1,0
251,43776.0,20,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,1,1,0,1,0,1,0
252,38179.0,18,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,1,0,1,0,1,0
253,80124.0,3,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,0,1,0,0,1,0
254,38097.0,24,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,0,1,1,0,1,0,1,0
255,72940.0,15,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0
256,22070.0,12,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,1,1,0,0,1,0
257,69267.0,24,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1,0,1,0,0,0,1
258,31788.0,6,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,1,0,1,0,1,0,0,1
259,61905.0,8,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,1,0,1,0,1,0
260,29315.0,6,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0,1,1,0,0,1,0
261,33378.0,20,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0,1,1,0,0,0,1
262,66313.0,12,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,0,1,0,1,0,1,0
263,60714.0,20,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,1,0,1,0,0,0,1
264,77882.0,5,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0
265,69867.0,18,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0,1,0,0,1,0,0,1
266,63841.0,17,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,1,0,1,0,0,1
267,24480.0,20,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0,1,0,0,1,1,0
268,65640.0,7,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0,1,0,1,0,1,0
269,44319.0,5,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,0,1,0,1,0,1,0
270,30631.0,14,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0,1,1,0,0,1,0
271,75278.0,20,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,0,0,1,0,0,1,0
272,50898.0,21,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,0,1,0,1,0,1,0
273,79946.0,4,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,0,0,1,0,0,0,1
274,35416.0,15,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,0,0,0,1,0,0,1
275,32414.0,15,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0,0,0,1,0,1,0
276,38361.0,9,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
277,82497.0,23,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,0,1,0,0,1,0
278,16626.0,8,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0,1,1,0,0,1,0
279,29672.0,19,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0
280,55951.0,25,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,0,1,0,1,0,1,0
281,35388.0,19,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,0,1,0,1,0,0,1
282,42386.0,21,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0,1,0,1,0,1,0
283,68627.0,21,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0,0,1,0,0,0,1
284,57912.0,6,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,1,0,1,0,0,1
285,35246.0,5,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0,1,1,0,0,0,1
286,58821.0,11,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0,1,0,1,0,1,0
287,46377.0,7,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,0,1,0,1,0,1,0
288,39747.0,5,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0,1,1,0,0,0,1
289,23976.0,9,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
290,80950.0,18,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0,0,0,1,0,1,0
291,27038.0,24,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,0,1,0,1,0,0,0,1
292,77457.0,7,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,0,1,0,0,0,1
293,64100.0,12,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0,1,0,1,0,1,0
294,42670.0,17,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0
295,12571.0,8,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0,1,1,0,0,0,1
296,22574.0,11,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
297,70893.0,20,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0,0,0,1,0,0,1
298,54198.0,9,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,0,1,1,0,0,1,0
299,28839.0,6,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0,1,0,1,0,1,0
300,40321.0,14,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
301,66503.0,26,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,1,1,0,0,0,1
302,30833.0,14,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,1,1,0,0,1,0
303,64795.0,20,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,1,1,0,0,1,0
304,34421.0,15,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0,1,1,0,0,1,0
305,47025.0,7,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,1,0,1,0,0,1
306,64325.0,20,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0,1,0,1,0,0,1
307,40464.0,21,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0,1,1,0,0,0,1
308,62187.0,15,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,0,1,0,0,1,0
309,14849.0,15,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0,1,0,1,0,0,1
310,27255.0,11,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
311,54432.0,17,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0,1,0,1,0,1,0
312,29999.0,19,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0,1,0,1,0,0,1
313,24072.0,17,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0,1,1,0,0,0,1
314,33996.0,12,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,1
315,66334.0,18,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1,1,0,1,0,1,0
316,35178.0,21,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,1,0,1,0,1,0
317,22010.0,15,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,0,1,1,0,0,1,0
318,62204.0,25,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,0,1,1,0,0,0,1
319,75693.0,22,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,1,0,1,0,0,0,1
320,30675.0,23,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0,1,1,0,0,1,0
321,83003.0,19,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,0,1,0,0,1,0
322,83532.0,12,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0
323,68655.0,26,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,0,1,0,0,0,1
324,41411.0,10,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,0,1,0,0,0,1
325,55212.0,22,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,1,0,1,0,1,0
326,59292.0,15,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0,1,0,1,0,1,0
327,27190.0,13,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,1,1,0,0,1,1,0
328,82623.0,10,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1
329,44300.0,15,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0
330,84835.0,3,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,0,1,0,0,0,1
331,30372.0,21,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,1,1,0,0,0,1
332,33181.0,9,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,0,1,0,1,0,1,0
333,71113.0,9,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,0,1,1,0,0,1,0
334,71952.0,21,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,1,1,0,0,1,0
335,69759.0,11,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1,0,0,1,0,0,1
336,72099.0,23,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,0,0,1,0,0,1,0
337,60000.0,21,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,1,0,1,0,0,1
338,38643.0,10,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,0,1,1,0,0,0,1
339,50737.0,17,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,0,1,1,0,0,1,0
340,68462.0,22,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,0,0,1,0,1,0
341,65073.0,13,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,0,0,0,1,0,1,0
342,46681.0,12,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,0,1,0,1,0,1,0
343,78618.0,24,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,0,1,0,0,1,0
344,62187.0,6,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0,1,0,1,0,0,1
345,28442.0,7,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,0,1,1,0,0,1,0
346,51479.0,21,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,0,1,1,0,0,1,0
347,54803.0,25,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0,1,1,0,0,0,1
348,79530.0,16,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,0,0,1,0,0,1,0
349,31615.0,18,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,0,1,1,0,0,0,1
350,72025.0,22,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,0,1,0,0,1,0
351,52614.0,22,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,1,0,1,0,0,1
352,35684.0,5,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,0,1,0,1,0,1,0
353,48178.0,23,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,0,1,1,0,0,1,0
354,29548.0,13,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,0,1,0,1,0,0,1
355,63810.0,23,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,0,1,1,0,0,0,1
356,38578.0,15,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,1,1,0,1,0,0,1
357,46098.0,25,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0,1,0,1,0,0,1
358,22585.0,18,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0,1,0,1,0,0,0,1
359,30279.0,21,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,1,1,0,0,0,1
360,66426.0,12,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,1,0,1,0,1,0
361,30822.0,15,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,0,1,1,0,0,0,1
362,33581.0,21,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,1,0,1,0,1,0
363,19986.0,10,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
364,27421.0,22,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,0,0,1,0,0,0,1
365,36143.0,6,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,1
366,10245.0,16,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0,1,1,0,0,0,1
367,43795.0,11,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,0,1,1,0,1,0,1,0
368,63381.0,24,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,1,1,0,0,1,0
369,38823.0,25,56,70,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0
370,83664.0,17,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,1,0,1,0,0,1
371,90300.0,9,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,0,1,0,0,1,0
372,62499.0,9,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,1,0,1,0,1,0
373,74293.0,5,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1
374,51012.0,17,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,0,0,0,1,0,1,0
375,70777.0,7,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0,1,0,1,0,1,0
376,68682.0,12,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,0,0,1,0,1,0
377,43824.0,25,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,0,0,1,1,0,0,1,0
378,15345.0,25,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,0,1,1,1,0,0,1,0
379,23442.0,21,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,0,1,1,0,0,0,1
380,14515.0,23,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,1,1,0,1,0,1,0
381,31395.0,18,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,0,1,0,1,0,0,1
382,75276.0,24,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,0,1,0,0,1,0
383,42373.0,13,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,0,1,1,0,0,0,1
384,30507.0,19,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,0,1,0,0,1,0
385,55521.0,11,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,0,1,1,0,1,0,0,1
386,48006.0,3,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0
387,27213.0,25,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,0,1,1,0,1,0,0,1
388,65808.0,4,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,1,0,1,0,0,1
389,30351.0,16,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,0,1,0,1,0,1,0
390,50437.0,23,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,1,1,0,0,1,0
391,23616.0,22,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,1,1,0,1,0,0,1
392,53858.0,23,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0,1,1,0,0,1,0
393,66465.0,18,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,1,0,1,0,1,0
394,46923.0,25,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,0,1,1,0,0,0,1
395,75072.0,20,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0,1,1,0,0,1,0
396,75865.0,6,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0
397,19789.0,10,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,0,1,0,1,0,1,0
398,80134.0,7,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,0,0,1,0,0,1,0
399,91065.0,19,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,0,1,0,1,0,0,0,1
400,49505.0,19,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,1,0,1,0,1,0
401,37401.0,5,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,0,1,0,1,0
402,18492.0,4,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0,1,0,1,0,1,0
403,82584.0,16,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,0,0,1,0,1,0
404,93027.0,17,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,0,0,0,0,1,0,1,0
405,48686.0,10,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,1,1,0,0,1,0
406,92910.0,5,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,0,0,1,0,0,1,0
407,75433.0,6,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,1,1,0,0,1,0
408,10404.0,5,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,0,1,0,1,0,1,0
409,61314.0,17,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,1,1,0,0,1,0
410,84865.0,17,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,1,0,0,1,0,0,1
411,42387.0,23,42,235,0,235,19,4,191,5,8,1,7,8,0,0,0,0,0,0,0,1,1,0,0,1,0
412,67309.0,20,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,0,1,0,1,0,1,0
413,75236.0,10,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,1,1,0,0,1,0
414,30015.0,8,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,1,1,0,0,0,1
415,50943.0,15,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,1,0,1,0,1,0
416,67272.0,9,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,0,1,1,0,0,0,1
417,51529.0,13,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0,1,0,1,0,0,1
418,32011.0,13,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,0,1,0,1,0,1,0
419,7500.0,20,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,0,1,0,1,0,1,0
420,28691.0,15,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,1,1,0,0,1,0
421,56223.0,9,72,77,28,31,16,0,4,2,2,1,5,4,0,0,0,0,0,0,0,1,0,1,0,1,0
422,18100.0,14,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,1,0
423,20130.0,6,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,0,0,1,0,1,0
424,23295.0,14,72,0,0,1,2,12,5,1,1,0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,1
425,42618.0,12,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,0,1,0,1,0,0,1
426,81246.0,9,87,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,0,0,1,0,0,0,1
427,24027.0,16,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,1,1,0,0,1,0
428,55707.0,9,91,208,7,82,30,66,35,2,3,2,9,3,0,0,0,0,0,0,0,1,0,1,0,1,0
429,57959.0,17,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0,1,1,0,0,0,1
430,56796.0,19,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,1,1,0,0,1,0
431,36230.0,11,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,0,0,1,0,1,0,0,1
432,70829.0,10,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0,1,0,1,0,1,0
433,65991.0,25,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0,1,1,0,0,1,0
434,38988.0,25,90,164,24,103,12,3,42,7,5,1,6,8,0,0,0,0,0,0,0,1,1,0,0,1,0
435,89572.0,25,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,0,1,0,0,1,0,0,1
436,42207.0,18,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,1,1,0,1,0,1,0
437,50300.0,4,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,0,1,1,0,0,1,0
438,66664.0,24,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,0,0,0,1,0,1,0
439,60597.0,9,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,1,1,1,0,0,1,0
440,70165.0,12,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,0,0,1,0,0,0,1
441,50520.0,8,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0,1,0,1,0,0,1
442,33183.0,7,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
443,66582.0,7,83,789,25,420,16,38,0,1,2,8,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1
444,75261.0,17,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,1,0,0,0,1,0,0,1,0,1,0
445,31880.0,23,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,0,1,1,0,0,0,1
446,53790.0,7,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0,1,1,0,0,1,0
447,49269.0,26,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,0,1,0,1,0,1,0
448,61456.0,18,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0,1,1,0,0,1,0
449,37406.0,11,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,1,1,1,0,0,1,0
450,56937.0,26,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,1,1,0,1,0,1,0
451,38415.0,21,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
452,20518.0,4,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0,1,1,0,0,0,1
453,62503.0,19,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,1,1,0,0,1,0
454,41644.0,4,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,0,1,0,1,0,0,1
455,55842.0,4,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0,1,0,1,0,1,0
456,62010.0,23,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,0,1,0,1,0,1,0
457,41124.0,23,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,0,1,1,0,0,1,0
458,38961.0,9,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,0,1,0,1,0,1,0
459,37760.0,13,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0,1,0,1,0,0,1
460,32233.0,25,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,1,1,1,0,0,0,1
461,43057.0,11,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,1,1,0,0,1,0
